Brewer,Drinker,Drink,Drink price,date,Total
Mrs. Jade Allen;1970-05-20;3577687933334659,Jane Davies;1978-05-29;372961426026780,Gin & Tonic small,400,2019-8-3,400
Mrs. Jade Allen;1970-05-20;3577687933334659,Miss Abbie Smith;1954-09-05;4128358166770,Gin & Tonic large,800,2019-8-3,1200
Mrs. Jade Allen;1970-05-20;3577687933334659,Katy Lee;1981-07-04;4895703194202888004,Ale small,300,2019-8-3,1500
Mrs. Jade Allen;1970-05-20;3577687933334659,Anna Buckley-Patel;1967-09-25;6011330523439128,Champagne small,400,2019-8-3,1900
Mrs. Jade Allen;1970-05-20;3577687933334659,Joshua Griffiths-Mitchell;1984-07-30;347389381395580,Champagne large,800,2019-8-3,2700
Mrs. Jade Allen;1970-05-20;3577687933334659,Lawrence Fisher;1983-09-19;3566273828670227,Shiraz small,300,2019-8-3,3000
Mrs. Jade Allen;1970-05-20;3577687933334659,Miss Jenna Hopkins;1970-09-16;371201862580821,House red small,300,2019-8-3,3300
Mrs. Jade Allen;1970-05-20;3577687933334659,Mohammad Jones-Wood;1963-05-21;3539333926037846,Scotch small,300,2019-8-3,3600
Mrs. Jade Allen;1970-05-20;3577687933334659,Mrs. Bethan Murray;1986-07-23;2238925746548385,Ale large,600,2019-8-3,4200
Mrs. Jade Allen;1970-05-20;3577687933334659,Neil Walters;1991-02-14;30153298849283,Whisky & Soda small,400,2019-8-3,4600
Mrs. Jade Allen;1970-05-20;3577687933334659,Ms. Elizabeth French;1974-12-19;630456409964,Prosecco small,300,2019-8-3,4900
Mrs. Jade Allen;1970-05-20;3577687933334659,Jane Davies;1978-05-29;372961426026780,Gin & Tonic small,400,2019-8-3,5300
Mrs. Jade Allen;1970-05-20;3577687933334659,Mrs. Jade Allen;1970-05-20;3577687933334659,Champagne large,800,2019-8-3,6100
Michelle Waters;1984-01-14;6545699347248609,Mrs. Jade Allen;1970-05-20;3577687933334659,Sprite large,400,2020-1-31,400
Michelle Waters;1984-01-14;6545699347248609,Marie Power;2002-01-30;5236653014789326,Diet Coke large,400,2020-1-31,800
Michelle Waters;1984-01-14;6545699347248609,Ms. Jean Johnson;1996-04-22;3599621831162106,Lime cordial large,400,2020-1-31,1200
Michelle Waters;1984-01-14;6545699347248609,Lawrence Jones;2005-06-10;3537902156094842,Fanta large,400,2020-1-31,1600
Michelle Waters;1984-01-14;6545699347248609,Sean Osborne-Little;1960-03-13;3554852454832013,Coke small,200,2020-1-31,1800
Michelle Waters;1984-01-14;6545699347248609,Ms. Sara Thompson;1986-03-24;371802005619325,Sprite large,400,2020-1-31,2200
Michelle Waters;1984-01-14;6545699347248609,Ryan Chapman;1981-12-13;3537198259397469,Sprite large,400,2020-1-31,2600
Michelle Waters;1984-01-14;6545699347248609,Mohammad Jones-Wood;1963-05-21;3539333926037846,Sparkling water large,400,2020-1-31,3000
Michelle Waters;1984-01-14;6545699347248609,Jane Davies;1978-05-29;372961426026780,Coke small,200,2020-1-31,3200
Michelle Waters;1984-01-14;6545699347248609,Ryan Chapman;1981-12-13;3537198259397469,Cloudy lemonade small,200,2020-1-31,3400
Michelle Waters;1984-01-14;6545699347248609,Iain Barker;1997-07-21;3534790658775791,Strawberry milkshake small,200,2020-1-31,3600
Michelle Waters;1984-01-14;6545699347248609,Anna Buckley-Patel;1967-09-25;6011330523439128,Blackcurrant cordial small,200,2020-1-31,3800
Michelle Waters;1984-01-14;6545699347248609,Mrs. Jade Allen;1970-05-20;3577687933334659,Sprite large,400,2020-1-31,4200
Michelle Waters;1984-01-14;6545699347248609,Cheryl Sutton;1968-11-24;6011950657786745,Milk large,400,2020-1-31,4600
Michelle Waters;1984-01-14;6545699347248609,Jane Davies;1978-05-29;372961426026780,Coke small,200,2020-1-31,4800
Michelle Waters;1984-01-14;6545699347248609,Michelle Waters;1984-01-14;6545699347248609,Diet Coke small,200,2020-1-31,5000
Gareth Watson;1968-09-14;060453409181,Neil Walters;1991-02-14;30153298849283,Green Tea with sugar,250,2019-7-24,250
Gareth Watson;1968-09-14;060453409181,Anna Buckley-Patel;1967-09-25;6011330523439128,Tea with sugar,250,2019-7-24,500
Gareth Watson;1968-09-14;060453409181,Miss Lindsey Harrison;1948-08-25;30476153140377,Tea with sugar,250,2019-7-24,750
Gareth Watson;1968-09-14;060453409181,Gareth Watson;1968-09-14;060453409181,Espresso,150,2019-7-24,900
